datum,okres,kat. území,nadm. výška,GPS severní šířka,GPS východní délka,plodina,škodl. org.,třída výskytu,intenzita,měrná jednota,% škodl.,poznámka
Fri May 24 2019,Břeclav,Velké Pavlovice,165,48°52’50.5″,16°49’48″,pšenice setá,hraboš polní,extrémní výskyt,550,nor/ha,1100,jaro
Fri Jul 19 2019,Břeclav,Starovice,303,48°56’47.3″,16°41’17.2″,pšenice setá,hraboš polní,extrémní výskyt,3050,nor/ha,6100,jaro
Fri Jul 19 2019,Břeclav,Bulhary,229,48°48’16.4″,16°43’38.3″,pšenice setá,hraboš polní,extrémní výskyt,2230,nor/ha,4460,jaro
Fri Jul 19 2019,Břeclav,Šakvice,193,48°52’52.4″,16°44’13.8″,pšenice setá,hraboš polní,extrémní výskyt,2560,nor/ha,5120,jaro
Mon Jul 22 2019,Břeclav,Velké Pavlovice,165,48°52’50.5″,16°49’48″,pšenice setá,hraboš polní,extrémní výskyt,2800,nor/ha,5600,jaro
Mon Jul 22 2019,Břeclav,Horní Bojanovice,250,48°56’29.7″,16°48’43.9″,pšenice setá,hraboš polní,extrémní výskyt,2100,nor/ha,4200,jaro
Tue Jul 23 2019,Břeclav,Křepice u Hustopečí,224,48°59’58.3″,16°42’48.6″,pšenice setá,hraboš polní,extrémní výskyt,2806.67,nor/ha,5613,jaro
Thu Jul 25 2019,Břeclav,Klobouky u Brna,218,48°58’50.6″,16°51’50.7″,pšenice setá,hraboš polní,extrémní výskyt,1800,nor/ha,3600,jaro
Thu Jul 25 2019,Břeclav,Hrušky,188,48°48’30″,16°58’29.5″,pšenice setá,hraboš polní,extrémní výskyt,2100,nor/ha,4200,jaro
,,,,,,,,,,,,
,,,,,,,,,pouzitelny prumer:,,,
,,,,,,,,,2342.38142857143,,,
