26.3.,,Křepice u Hustopečí,,,,,,,2273.33,
19.8.,,Křepice u Hustopečí,,,,,,,7920,
27.3.,,Lednice na Moravě,,,,,,,90,
29.8.,,Lednice na Moravě,,,,,,,670,
18.9.,,Lednice na Moravě,,,,,,,750,
25.2.,,Rakvice,,,,,,,1050,
29.8.,,Rakvice,,,,,,,1800,
27.2.,,Valtice,,,,,,,200,
2.9.,,Valtice,,,,,,,1900,
10.10.,,Valtice,,,,,,,1600,
2.12.,,Valtice,,,,,,,1900,
20.3.,,Velké Němčice,,,,,,,5210,
25.7.,,Velké Němčice,,,,,,,11250,
19.9.,,Velké Němčice,,,,,,,28120,
,,,,,,,,,,Prirustky:
koeficienty,,dni,start,narust,za den,za den na 1 noru,Za 15 dni na jednu noru,Prumer 15 dni,,J-l prumer za den:
Jaro-leto,Lednice,156,90,580,3.71794871794872,0.041310541310541,0.61965811965812,5.59758665798474,,5.5
,Krepcice,147,2273,5647,38.4149659863946,0.016900556967178,0.253508354507663,,,
,Rakvice,186,1050,750,4.03225806451613,0.00384024577573,0.057603686635945,,,
,Valtice,188,200,1700,9.04255319148936,0.045212765957447,0.678191489361702,,,L-p prumer za den:
,velke nemcice,128,5210,6040,47.1875,0.009057101727447,0.135856525911708,,,3.80952380952381
Leto-podzim,lednice,21,670,80,3.80952380952381,0.005685856432125,0.085287846481876,,,
,velke nemcice,57,11250,16870,295.964912280702,0.026307992202729,0.394619883040936,,,P-z prumer za den:
Podzim-zima,valtice,54,1600,300,5.55555555555556,0.003472222222222,0.052083333333333,0.052083333333333,,NENI
